onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	trial_index
14.831	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	1
25.802	3.643	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/5b_question.txt	1
44.326	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	2
55.313	3.831	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	2
73.837	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	3
84.824	4.121	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/2p_question.txt	3
103.348	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	4
114.335	4.349	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/2b_question.txt	4
132.875	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	5
143.846	4.033	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/1p_question.txt	5
162.386	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	6
173.374	4.921	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/1b_question.txt	6
191.897	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	7
202.885	n/a	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/9p_question.txt	7
221.425	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	8
232.396	3.645	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	8
250.92	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	9
261.907	3.982	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	9
280.431	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	10
291.418	5.09	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	10
309.958	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	11
320.929	4.898	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	11
339.453	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	12
350.44	3.631	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	12
368.964	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	13
379.951	3.99	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	13
398.475	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	14
409.462	2.902	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt	14
427.986	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	15
438.973	4.005	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/7b_question.txt	15
457.497	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	16
468.484	2.296	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	16
487.024	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	17
497.995	2.947	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	17
516.519	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	18
527.506	3.182	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/8b_question.txt	18
546.03	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	19
557.017	4.369	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	19
575.541	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	20
586.528	3.074	tomsaxe	response	falsebelief	correct	task-tomsaxe/4b_question.txt	20
