filename	acq_time	operator	randstr	task-social_runtype
anat/sub-0117_ses-01_acq-MPRAGEXp3X08mm_T1w.nii.gz	1919-10-28T19:42:29.070000	n/a	48659053	n/a
fmap/sub-0117_ses-01_acq-96dirX6b0Xmb_dir-pa_epi.nii.gz	1919-10-28T19:48:46.097500	n/a	4b37f59f	n/a
fmap/sub-0117_ses-01_acq-96dirX6b0Xmb_dir-ap_epi.nii.gz	1919-10-28T19:49:09.025000	n/a	f61d0a76	n/a
dwi/sub-0117_ses-01_acq-96dirX6b0Xmb_dwi.nii.gz	1919-10-28T19:49:32.070000	n/a	b57dcaa6	n/a
fmap/sub-0117_ses-01_acq-mb8_dir-ap_run-01_epi.nii.gz	1919-10-28T19:57:52.400000	n/a	e2e0a789	n/a
fmap/sub-0117_ses-01_acq-mb8_dir-pa_run-01_epi.nii.gz	1919-10-28T19:58:16.372500	n/a	bc404235	n/a
func/sub-0117_ses-01_task-social_acq-mb8_run-01_sbref.nii.gz	1919-10-28T19:59:02.965000	n/a	0efe41af	vicarious
func/sub-0117_ses-01_task-social_acq-mb8_run-01_bold.nii.gz	1919-10-28T19:59:09.865000	n/a	dd45f53b	vicarious
func/sub-0117_ses-01_task-social_acq-mb8_run-02_sbref.nii.gz	1919-10-28T20:06:00.752500	n/a	72461c4d	cognitive
func/sub-0117_ses-01_task-social_acq-mb8_run-02_bold.nii.gz	1919-10-28T20:06:07.652500	n/a	e3866085	cognitive
func/sub-0117_ses-01_task-social_acq-mb8_run-03_sbref.nii.gz	1919-10-28T20:14:27.027500	n/a	6b2eb1e5	pain
func/sub-0117_ses-01_task-social_acq-mb8_run-03_bold.nii.gz	1919-10-28T20:14:33.927500	n/a	d47e20b3	pain
func/sub-0117_ses-01_task-social_acq-mb8_run-04_sbref.nii.gz	1919-10-28T20:22:09.572500	n/a	a21d5561	pain
func/sub-0117_ses-01_task-social_acq-mb8_run-04_bold.nii.gz	1919-10-28T20:22:16.472500	n/a	2e1fbf26	pain
func/sub-0117_ses-01_task-social_acq-mb8_run-05_sbref.nii.gz	1919-10-28T20:29:11.342500	n/a	16686dd4	cognitive
func/sub-0117_ses-01_task-social_acq-mb8_run-05_bold.nii.gz	1919-10-28T20:29:18.242500	n/a	ec4a8769	cognitive
func/sub-0117_ses-01_task-social_acq-mb8_run-06_sbref.nii.gz	1919-10-28T20:36:12.485000	n/a	2dc66ae9	vicarious
func/sub-0117_ses-01_task-social_acq-mb8_run-06_bold.nii.gz	1919-10-28T20:36:19.385000	n/a	bedaafc1	vicarious
fmap/sub-0117_ses-01_acq-mb8_dir-ap_run-02_epi.nii.gz	1919-10-28T20:51:31.295000	n/a	a2e38f30	n/a
fmap/sub-0117_ses-01_acq-mb8_dir-pa_run-02_epi.nii.gz	1919-10-28T20:51:55.357500	n/a	13276458	n/a
func/sub-0117_ses-01_task-alignvideo_acq-mb8_run-01_sbref.nii.gz	1919-10-28T20:52:36.962500	n/a	7de1dfe3	n/a
func/sub-0117_ses-01_task-alignvideo_acq-mb8_run-01_bold.nii.gz	1919-10-28T20:52:43.862500	n/a	1df690af	n/a
func/sub-0117_ses-01_task-alignvideo_acq-mb8_run-02_sbref.nii.gz	1919-10-28T21:01:29.905000	n/a	bc941319	n/a
func/sub-0117_ses-01_task-alignvideo_acq-mb8_run-02_bold.nii.gz	1919-10-28T21:01:36.805000	n/a	366f39ec	n/a
func/sub-0117_ses-01_task-alignvideo_acq-mb8_run-03_sbref.nii.gz	1919-10-28T21:12:54.757500	n/a	6e3c17d7	n/a
func/sub-0117_ses-01_task-alignvideo_acq-mb8_run-03_bold.nii.gz	1919-10-28T21:13:01.657500	n/a	25a08954	n/a
func/sub-0117_ses-01_task-alignvideo_acq-mb8_run-04_sbref.nii.gz	1919-10-28T21:21:14.687500	n/a	aad6846a	n/a
func/sub-0117_ses-01_task-alignvideo_acq-mb8_run-04_bold.nii.gz	1919-10-28T21:21:21.587500	n/a	f0ece29b	n/a
