onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	trial_index
14.801	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/5b_story.txt	1
25.772	2.042	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/5b_question.txt	1
44.295	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/5p_story.txt	2
55.283	2.528	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/5p_question.txt	2
73.806	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/6p_story.txt	3
84.794	3.153	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/6p_question.txt	3
103.317	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/6b_story.txt	4
114.305	3.934	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/6b_question.txt	4
132.828	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/9p_story.txt	5
143.816	4.167	tomsaxe	response	falsephoto	incorrect	task-fractional/runtype-tomsaxe/9p_question.txt	5
162.339	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/9b_story.txt	6
173.327	3.523	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/9b_question.txt	6
191.85	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/10p_story.txt	7
202.838	2.698	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/10p_question.txt	7
221.361	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/10b_story.txt	8
232.349	3.802	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/10b_question.txt	8
250.872	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/4b_story.txt	9
261.86	2.937	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/4b_question.txt	9
280.383	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/4p_story.txt	10
291.371	3.372	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/4p_question.txt	10
309.894	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/1p_story.txt	11
320.882	3.693	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/1p_question.txt	11
339.405	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/1b_story.txt	12
350.393	3.721	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/1b_question.txt	12
368.916	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/8p_story.txt	13
379.904	2.627	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/8p_question.txt	13
398.427	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/8b_story.txt	14
409.415	3.58	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/8b_question.txt	14
427.938	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/7b_story.txt	15
438.926	5.594	tomsaxe	response	falsebelief	incorrect	task-fractional/runtype-tomsaxe/7b_question.txt	15
457.449	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/7p_story.txt	16
468.437	2.723	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/7p_question.txt	16
486.96	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/3p_story.txt	17
497.948	4.381	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/3p_question.txt	17
516.471	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/3b_story.txt	18
527.459	3.825	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/3b_question.txt	18
545.982	11.0	tomsaxe	stimulus	falsephoto	n/a	task-fractional/runtype-tomsaxe/2p_story.txt	19
556.97	5.258	tomsaxe	response	falsephoto	correct	task-fractional/runtype-tomsaxe/2p_question.txt	19
575.493	11.0	tomsaxe	stimulus	falsebelief	n/a	task-fractional/runtype-tomsaxe/2b_story.txt	20
586.481	3.043	tomsaxe	response	falsebelief	correct	task-fractional/runtype-tomsaxe/2b_question.txt	20
