filename,acq_time,operator,randstr,task-social_runtype,task-fractional_runtype
fmap/sub-0104_ses-04_acq-mb8_dir-ap_run-01_epi.nii.gz,1919-10-12T11:02:04.752500,,fda49ff3,,n/a
fmap/sub-0104_ses-04_acq-mb8_dir-pa_run-01_epi.nii.gz,1919-10-12T11:02:28.345000,,c38bfa49,,n/a
func/sub-0104_ses-04_task-fractional_acq-mb8_run-01_sbref.nii.gz,1919-10-12T11:04:13.750000,,f9471e90,,tomsaxe
func/sub-0104_ses-04_task-fractional_acq-mb8_run-01_bold.nii.gz,1919-10-12T11:04:20.650000,,b1e0ec4f,,tomsaxe
func/sub-0104_ses-04_task-fractional_acq-mb8_run-02_sbref.nii.gz,1919-10-12T11:14:48.692500,,b5ce27a6,,tomspunt
func/sub-0104_ses-04_task-fractional_acq-mb8_run-02_bold.nii.gz,1919-10-12T11:14:55.592500,,d2f950a3,,tomspunt
func/sub-0104_ses-04_task-social_acq-mb8_run-01_sbref.nii.gz,1919-10-12T11:29:46.242500,,4bdf1a1f,pain,n/a
func/sub-0104_ses-04_task-social_acq-mb8_run-01_bold.nii.gz,1919-10-12T11:29:53.142500,,ebcc5d72,pain,n/a
func/sub-0104_ses-04_task-social_acq-mb8_run-02_sbref.nii.gz,1919-10-12T11:37:00.815000,,aafa1d5b,cognitive,n/a
func/sub-0104_ses-04_task-social_acq-mb8_run-02_bold.nii.gz,1919-10-12T11:37:07.715000,,437713b3,cognitive,n/a
func/sub-0104_ses-04_task-social_acq-mb8_run-03_sbref.nii.gz,1919-10-12T11:44:07.515000,,57200d15,vicarious,n/a
func/sub-0104_ses-04_task-social_acq-mb8_run-03_bold.nii.gz,1919-10-12T11:44:14.415000,,ac941f5a,vicarious,n/a
func/sub-0104_ses-04_task-social_acq-mb8_run-04_sbref.nii.gz,1919-10-12T11:51:09.452500,,f8e2ffce,cognitive,n/a
func/sub-0104_ses-04_task-social_acq-mb8_run-04_bold.nii.gz,1919-10-12T11:51:16.352500,,2654c50d,cognitive,n/a
func/sub-0104_ses-04_task-social_acq-mb8_run-05_sbref.nii.gz,1919-10-12T12:06:26.792500,,9f06b559,pain,n/a
func/sub-0104_ses-04_task-social_acq-mb8_run-05_bold.nii.gz,1919-10-12T12:06:33.692500,,5518c0ba,pain,n/a
func/sub-0104_ses-04_task-social_acq-mb8_run-06_sbref.nii.gz,1919-10-12T12:14:10.460000,,8d2c7e3a,vicarious,n/a
func/sub-0104_ses-04_task-social_acq-mb8_run-06_bold.nii.gz,1919-10-12T12:14:17.360000,,261e6e80,vicarious,n/a
fmap/sub-0104_ses-04_acq-mb8_dir-ap_run-02_epi.nii.gz,1919-10-12T12:22:09.330000,,511b1ef7,,n/a
fmap/sub-0104_ses-04_acq-mb8_dir-pa_run-02_epi.nii.gz,1919-10-12T12:22:33.355000,,c909e0d4,,n/a
func/sub-0104_ses-04_task-alignvideo_acq-mb8_run-01_sbref.nii.gz,1919-10-12T12:23:16.777500,,36646a93,,n/a
func/sub-0104_ses-04_task-alignvideo_acq-mb8_run-01_bold.nii.gz,1919-10-12T12:23:23.677500,,fa627a00,,n/a
func/sub-0104_ses-04_task-alignvideo_acq-mb8_run-02_sbref.nii.gz,1919-10-12T12:33:20.245000,,587af726,,n/a
func/sub-0104_ses-04_task-alignvideo_acq-mb8_run-02_bold.nii.gz,1919-10-12T12:33:27.145000,,0dd263a2,,n/a
